time,sha1_cert,reason
3/28/17 10:01,6fe5159dcd442148ba1626970d46395f60a3381c,TorrentLocker C&C
3/28/17 9:38,e00428f71b202386aac431cc90068e9204f3d586,Chthonic MITM
3/28/17 8:09,c19c48ca9bbd9d98c31d30f8319ea2b8f495fada,Dridex C&C
3/28/17 8:09,8ada65cf9bdd8160415b028dc4fb15288b8e5677,Dridex C&C
3/28/17 8:09,e6c36ae1c584a3a5f0e0acae9cc88ffde9dbc9aa,Dridex C&C
3/27/17 17:27,d9853b642206cd4897d69f78c64b274243823e83,TorrentLocker C&C
3/27/17 8:43,aef46f1c570727c11517880d5242da0b3d7dd5a0,Gozi MITM
3/27/17 7:25,19dbb556067486a789847851a793efba00d4c4b8,Dridex C&C
3/27/17 7:25,ac1df39c13e4783f37de774c0bdf8bf1ed9a3f8e,Dridex C&C
3/26/17 7:41,1b665ce21b592dd2bcc9951888dbc0f19f5bede3,Dridex C&C
3/26/17 7:41,830f59685711410495b976fbc6aea388bd7b8213,Dridex C&C
3/26/17 7:41,911a6648e73b891a588904e1faf8c8901de9f08d,Dridex C&C
3/26/17 7:41,533a4d578c8948a53825ca52e3705f2f269b588a,Dridex C&C
3/26/17 7:41,761aa02e86542bd5dd13abb83b595af236a738a9,Dridex C&C
3/24/17 11:13,87cac3d8c16ce0728e86bf9e69596ffdcaf9db8f,Dridex C&C
3/24/17 11:13,2bb362e2913b9e2c0edbcbdbddaaf2331233a991,Dridex C&C
3/23/17 19:12,4500f29c4434c0ef3e70cf7d63eaef69bf757fb2,Dridex C&C
3/23/17 19:12,7439d501757795b6f90f56af10c9bc5dc7db94c0,Dridex C&C
3/23/17 19:10,3df448e14c99f7a25d86724dd83dbe6cd136b42e,Dridex C&C
3/23/17 19:07,613c9682e987177bee34a4400d5b08b78b42a5b5,Dridex C&C
3/23/17 9:36,76be2015186a03afbf39806ce719842f9339e2ea,Quakbot C&C
3/23/17 5:43,5b990eadfde94c8b84a5c80fcb49bcbfb69456d5,Gozi MITM
3/22/17 15:39,3327ed6460b67141b8ce5eea307dd86d8bab626c,Dridex C&C
3/21/17 13:47,ba3500b1c4cff945197475ccd7cb84f4da663030,Chthonic MITM
3/21/17 9:51,3cb38fead363d5480a2a23d26b269ed434fa078f,Chthonic C&C
3/21/17 7:19,57b7a77146f40cf0146fb75fab348ee28dd3c3be,Dridex C&C
3/21/17 7:19,5e21634242a75344d3ac3ea4bf0ac66eae04f627,Dridex C&C
3/21/17 7:19,d4ad3a76552ef62fac1bcbc0aee1c6f1f085137a,Dridex C&C
3/20/17 13:13,46371330700611773c8fdf04d60a84b00b0aa5fb,Chthonic C&C
3/20/17 13:00,97de758a7c3c861c32f159f39d08abd0499d9383,Chthonic C&C
3/20/17 11:57,c974f1b02b4317637aad55c6ce33e1b8de2520c5,TorrentLocker C&C
3/19/17 21:11,f214691819932e30b5e7cb8533915e90620287b0,Gozi MITM
3/19/17 10:46,2009d392b9dcfae2cccd842c9fdad56b64737b80,Quakbot C&C
3/19/17 9:28,a5d38f17fbfb1ae0b929bd1d7d3bd9ae2d166c28,Chthonic C&C
3/19/17 9:28,f26629995e1cde463b8e3db3de0cd81b334d03e4,Chthonic C&C
3/18/17 18:23,4468ced956decf1439e9e4531362d1a394fae8fb,Quakbot C&C
3/18/17 11:39,7e8e411b646d5ed8373d5c867f23a4a405aa7238,Quakbot C&C
3/17/17 19:05,bf7ade50fdefaf43e6994f8b4565ab1992da086d,Quakbot C&C
3/17/17 18:47,25c40ca83f45f32abfad18ca50a7ac14d4b02af8,Quakbot C&C
3/17/17 18:45,65f1c795619f2589cc4f228a590d01e48ddb2e88,Quakbot C&C
3/17/17 18:42,bd2a7ad937839a608c56606bef85e43acd094e4e,Quakbot C&C
3/17/17 18:41,2797597a7bc6b3b45f9e5ec6de4710537126fc03,Quakbot C&C
3/17/17 17:48,f389a4bcedc23ede90056191548f5fac03bd2b18,Chthonic C&C
3/17/17 17:36,54b0ac0bbc4d2e7eaf81fc8ea2efc22d86cec64f,Quakbot C&C
3/15/17 16:50,55833267b862bb543310a65610484ca0ab62e666,TorrentLocker C&C
3/15/17 16:48,b9aee8ccc7a3f5280991dbef6628bbb1af9e857a,Quakbot C&C
3/15/17 16:48,60a3277501a92e68e7b70331985a3836679e72df,Quakbot C&C
3/15/17 16:47,d7a19b9edafb2fbb7d404fc79c0ccdef5a1279c1,Quakbot C&C
3/15/17 10:55,c1ec4f82e7f198c4fdd4009d6806644d01f2f810,Quakbot C&C
3/15/17 10:46,caa4746705d7823a39b0ffa707ee6dec2af4d3d5,Quakbot C&C
3/15/17 10:25,f405f949fd0935cab166084497433f66e0a19318,Quakbot C&C
3/14/17 13:21,85a3d25297742ae3beb5819d46629e8f9ab034c6,Gozi MITM
3/14/17 5:43,23b941b225f1b2bfb9aceabdb7276da374d750e0,Gozi MITM
3/14/17 5:41,f95d75c108ee663cb8a0b29a9365e32f2d6ed808,Gozi MITM
3/14/17 5:38,ca776a63918617fc45bb80389033031130c48498,Gozi MITM
3/13/17 15:21,beeb2a73ea8a829457e88ece92e56ab6bae25199,PandaBanker C&C
3/13/17 9:33,0c8412998e79a33f881f85cca83c6b37511fcc23,Quakbot C&C
3/13/17 9:31,37f211b8024c7206e40150dca938f5c838a629a3,Quakbot C&C
3/13/17 9:31,1b823730663d26e723ffe308c19e7c68702a5724,Quakbot C&C
3/13/17 9:31,ce8365cff99b4309666a661af59550be8ca07f8a,Quakbot C&C
3/13/17 9:28,b53702cc09cf8a1862183337957f8715c38cb733,Quakbot C&C
3/13/17 9:23,19a4d266644594c1a7d5f25e794902fb05292723,Quakbot C&C
3/13/17 9:20,22da4d7ca081b110b6c2a183a3205967337e9e86,Quakbot C&C
3/11/17 15:01,62c30b50ece6ce29031d5b1f3866b15fbd656a6b,Dridex C&C
3/11/17 15:00,17e4cc5240262f73f6c1ae2721724ed0f547a59c,Dridex C&C
3/11/17 14:58,95375f69c1dae0bd3b35a191ac67d1c58ff39ac6,Quakbot C&C
3/11/17 9:01,a30202f42c88497e508e87f69d18dae156c69b27,Quakbot C&C
3/11/17 8:40,ad723fdf004b0c35f3cc37a8b05bee79c124ab54,Quakbot C&C
3/11/17 8:39,50ea19986300e1f313d781128f6fdd8b8fef57c8,Quakbot C&C
3/11/17 8:36,a6cbf1d86dbc3c09483cfd3d2834008b05a03fd9,Quakbot C&C
3/11/17 8:33,ba7c40be7dc0682a668d1631585ef288a6247d4e,Quakbot C&C
3/11/17 8:32,db59b95d8749a779b90ee7d3b93cd7b4b1666bfe,Quakbot C&C
3/11/17 8:25,009fd70b9f42a2b370c85a60a77b2fcd7a7c0ba7,Quakbot C&C
3/11/17 7:51,d9e91785746ab86c97111067f2d92a99234a46a7,Kronos MITM
3/10/17 15:04,1c55651c3c7ad5e653b3d7323f12647e2f480110,Gozi MITM
3/10/17 14:24,0760b70696976b36eecc0a671b7ff710b819fea7,Quakbot C&C
3/10/17 10:31,4fa99c8bc17b90c2e36120c34f12eda47477d7ff,Dridex C&C
3/10/17 10:31,4598bdaba95157b5c5766f20ac2dc0d96b914a56,Dridex C&C
3/10/17 10:30,c1770cbe6b232f7e281c4805a57600fed3c9ea02,Dridex C&C
3/10/17 10:19,b4a8b55ed500a08f3c83c2f4708aea66a5d521dc,Quakbot C&C
3/10/17 10:19,4a070497081dfaf89f324f4896a91edb9c425c0c,Quakbot C&C
3/9/17 19:01,0c1679533d058d1a6242d7afc4f3581a8b97b303,Gozi MITM
3/9/17 14:33,e97cb9e54617deaaabf6e6369e3e66d257a88893,Gozi MITM
3/9/17 12:40,10be33b94622270ddf6ae08f8f91e2c48217b6cd,Gozi MITM
3/9/17 11:26,17874ba064a5a5a84d9093e321cd0acbda2faf7c,Quakbot C&C
3/9/17 11:26,6eaefc284c6cbdc80d92a0305beaeca726dd9377,Quakbot C&C
